Title,Year,titleyear,AvgRating,MinAge,SuggestedPlayers,solo,two_player,log_playtime,AvgWeight
Pandemic Legacy: Season 1,2015,Pandemic Legacy: Season 1 (2015),8.66689,13,4,FALSE,FALSE,4.0943445622221,2.804
Through the Ages: A New Story of Civilization,2015,Through the Ages: A New Story of Civilization (2015),8.75705,14,3,FALSE,FALSE,5.480638923341991,4.306
Twilight Struggle,2005,Twilight Struggle (2005),8.35696,13,2,FALSE,TRUE,5.19295685089021,3.528
Terra Mystica,2012,Terra Mystica (2012),8.29249,12,4,FALSE,FALSE,5.0106352940962555,3.9378
Star Wars: Rebellion,2016,Star Wars: Rebellion (2016),8.55531,14,2,FALSE,FALSE,5.480638923341991,3.5528
Scythe,2016,Scythe (2016),8.33959,14,4,TRUE,FALSE,4.74493212836325,3.3108
Gloomhaven,2017,Gloomhaven (2017),9.16331,12,3,TRUE,FALSE,5.0106352940962555,3.7071
7 Wonders Duel,2015,7 Wonders Duel (2015),8.19679,10,2,FALSE,TRUE,3.4011973816621555,2.247
Caverna: The Cave Farmers,2013,Caverna: The Cave Farmers (2013),8.18707,12,4,TRUE,FALSE,5.3471075307174685,3.789
The Castles of Burgundy,2011,The Castles of Burgundy (2011),8.11091,12,2,FALSE,FALSE,4.499809670330265,3.0391
Terraforming Mars,2016,Terraforming Mars (2016),8.37729,12,3,TRUE,FALSE,4.787491742782046,3.2432
Puerto Rico,2002,Puerto Rico (2002),8.09338,12,4,FALSE,FALSE,5.0106352940962555,3.2945
Agricola,2007,Agricola (2007),8.05771,12,4,TRUE,FALSE,5.0106352940962555,3.6313
War of the Ring (Second Edition),2012,War of the Ring (Second Edition) (2012),8.38668,13,2,FALSE,FALSE,5.19295685089021,3.9897
Mage Knight Board Game,2011,Mage Knight Board Game (2011),8.13872,14,1,TRUE,FALSE,5.0106352940962555,4.2014
Through the Ages: A Story of Civilization,2006,Through the Ages: A Story of Civilization (2006),8.09472,12,3,FALSE,FALSE,5.480638923341991,4.1699
Blood Rage,2015,Blood Rage (2015),8.16324,14,4,FALSE,FALSE,4.499809670330265,2.9016
Star Wars: Imperial Assault,2014,Star Wars: Imperial Assault (2014),8.20925,14,5,FALSE,FALSE,4.787491742782046,3.2643
Power Grid,2004,Power Grid (2004),7.94689,12,4,FALSE,FALSE,4.787491742782046,3.2869
Eclipse,2011,Eclipse (2011),8.01698,14,4,FALSE,FALSE,5.298317366548036,3.6792
Mansions of Madness: Second Edition,2016,Mansions of Madness: Second Edition (2016),8.32992,14,4,TRUE,FALSE,5.19295685089021,2.6303
Puerto Rico: Limited Anniversary Edition,2011,Puerto Rico: Limited Anniversary Edition (2011),8.51551,13,4,FALSE,FALSE,5.0106352940962555,3.285
Robinson Crusoe: Adventures on the Cursed Island,2012,Robinson Crusoe: Adventures on the Cursed Island (2012),8.01798,14,3,TRUE,FALSE,5.19295685089021,3.6927
Android: Netrunner,2012,Android: Netrunner (2012),8.00895,14,2,FALSE,TRUE,3.8066624897703196,3.3439
Mechs vs. Minions,2016,Mechs vs. Minions (2016),8.40011,14,4,FALSE,FALSE,4.499809670330265,2.4545
Le Havre,2008,Le Havre (2008),7.93181,12,3,TRUE,FALSE,5.0106352940962555,3.7594
Brass: Lancashire,2007,Brass: Lancashire (2007),8.00605,13,4,FALSE,FALSE,5.19295685089021,3.8742
Food Chain Magnate,2015,Food Chain Magnate (2015),8.2782,14,3,FALSE,FALSE,5.480638923341991,4.1858
T.I.M.E Stories,2015,T.I.M.E Stories (2015),8.06425,12,4,FALSE,FALSE,4.499809670330265,2.6714
Tzolk'in: The Mayan Calendar,2012,Tzolk'in: The Mayan Calendar (2012),7.94301,13,4,FALSE,FALSE,4.499809670330265,3.6132
Orléans,2014,Orléans (2014),8.06938,12,4,FALSE,FALSE,4.499809670330265,3.1079
Arkham Horror: The Card Game,2016,Arkham Horror: The Card Game (2016),8.41287,14,2,TRUE,FALSE,4.787491742782046,3.0305
Great Western Trail,2016,Great Western Trail (2016),8.26732,12,3,FALSE,FALSE,5.0106352940962555,3.7513
Keyflower,2012,Keyflower (2012),7.94137,12,4,FALSE,FALSE,4.787491742782046,3.3373
Concordia,2013,Concordia (2013),7.97658,13,4,FALSE,FALSE,4.605170185988092,3.1431
7 Wonders,2010,7 Wonders (2010),7.83751,10,4,FALSE,FALSE,3.4011973816621555,2.3446
Viticulture Essential Edition,2015,Viticulture Essential Edition (2015),8.19693,13,4,TRUE,FALSE,4.499809670330265,2.9533
The Voyages of Marco Polo,2015,The Voyages of Marco Polo (2015),7.98981,12,4,FALSE,FALSE,4.605170185988092,3.1813
Caylus,2005,Caylus (2005),7.86264,12,3,FALSE,FALSE,5.0106352940962555,3.8213
Dead of Winter: A Crossroads Game,2014,Dead of Winter: A Crossroads Game (2014),7.87056,14,4,FALSE,FALSE,5.3471075307174685,2.9981
Eldritch Horror,2013,Eldritch Horror (2013),7.94478,14,4,TRUE,FALSE,5.480638923341991,3.3085
Ticket to Ride: 10th Anniversary,2014,Ticket to Ride: 10th Anniversary (2014),8.32934,8,4.5,FALSE,FALSE,4.0943445622221,1.9305
Twilight Imperium (Third Edition),2005,Twilight Imperium (Third Edition) (2005),7.92384,12,6,FALSE,FALSE,5.703782474656201,4.2253
Patchwork,2014,Patchwork (2014),7.83359,8,2,FALSE,TRUE,3.4011973816621555,1.7152
Dominant Species,2010,Dominant Species (2010),7.86746,14,4,FALSE,FALSE,5.480638923341991,4.0276
Race for the Galaxy,2007,Race for the Galaxy (2007),7.7709,12,2,FALSE,FALSE,4.0943445622221,2.9706
Roll for the Galaxy,2014,Roll for the Galaxy (2014),7.85184,13,3,FALSE,FALSE,3.8066624897703196,2.7584
Lords of Waterdeep,2012,Lords of Waterdeep (2012),7.79597,12,4,FALSE,FALSE,4.787491742782046,2.5052
Five Tribes,2014,Five Tribes (2014),7.83286,13,2,FALSE,FALSE,4.382026634673881,2.891
El Grande,1995,El Grande (1995),7.80546,12,5,FALSE,FALSE,4.787491742782046,3.0869
A Feast for Odin,2016,A Feast for Odin (2016),8.31321,12,2,TRUE,FALSE,4.787491742782046,3.8138
Dominion: Intrigue,2009,Dominion: Intrigue (2009),7.79412,13,3,FALSE,FALSE,3.4011973816621555,2.444
Star Wars: X-Wing Miniatures Game,2012,Star Wars: X-Wing Miniatures Game (2012),7.87966,14,2,FALSE,TRUE,3.8066624897703196,2.4691
Battlestar Galactica,2008,Battlestar Galactica (2008),7.77637,10,5,FALSE,FALSE,5.703782474656201,3.2275
Fields of Arle,2014,Fields of Arle (2014),8.21534,13,2,TRUE,FALSE,4.787491742782046,3.9064
Dominion,2008,Dominion (2008),7.7012,13,3,FALSE,FALSE,3.4011973816621555,2.3757
Sherlock Holmes Consulting Detective,1981,Sherlock Holmes Consulting Detective (1981),7.85362,10,2,TRUE,FALSE,4.787491742782046,2.7759
Tigris & Euphrates,1997,Tigris & Euphrates (1997),7.72431,12,4,FALSE,FALSE,4.499809670330265,3.531
Russian Railroads,2013,Russian Railroads (2013),7.82916,12,4,FALSE,FALSE,4.787491742782046,3.4117
Trajan,2011,Trajan (2011),7.8163,12,4,FALSE,FALSE,4.499809670330265,3.6733
Pandemic,2008,Pandemic (2008),7.6726,8,4,FALSE,FALSE,3.8066624897703196,2.431
Mombasa,2015,Mombasa (2015),8.01314,12,4,FALSE,FALSE,5.0106352940962555,3.861
Castles of Mad King Ludwig,2014,Castles of Mad King Ludwig (2014),7.74523,13,4,TRUE,FALSE,4.499809670330265,2.6557
Descent: Journeys in the Dark (Second Edition),2012,Descent: Journeys in the Dark (Second Edition) (2012),7.79957,14,5,FALSE,FALSE,4.787491742782046,3.1905
