Title,launched_at,titleyear,usd_pledged,MinAge,log_playtime,AvgWeight
Exploding Kittens,1421776819,Exploding Kittens (2015),8782571.99,7,2.70805020110221,1.07
Rising Sun,1488917055,Rising Sun (2018),4228060,13,4.787491742782046,3.25
Zombicide: Black Plague,1433789978,Zombicide: Black Plague (2015),4079204.52,10,5.19295685089021,2.6056
Conan,1421085308,Conan (2016),3327757,14,4.787491742782046,2.8594
Joking Hazard,1455037250,Joking Hazard (2016),3246588.55,18,4.499809670330265,1.1
Mythic Battles: Pantheon,1478026820,Mythic Battles: Pantheon (2017),2669009.65,14,4.499809670330265,2.9375
Scythe,1444746567,Scythe (2016),1810294.7,14,4.74493212836325,3.3108
Arcadia Quest: Inferno,1447704002,Arcadia Quest: Inferno (2017),1710713.62,13,4.787491742782046,2.3333
Ghostbusters: The Board Game,1423555183,Ghostbusters: The Board Game (2015),1546269.5,15,4.787491742782046,2.2059
Secret Hitler,1448308277,Secret Hitler (2016),1479046.95,13,3.8066624897703196,1.6825
The Others,1441911569,The Others (2016),1464489.52,14,4.499809670330265,2.9783
Deep Madness,1476460796,Deep Madness (2017),1438293.52,14,4.787491742782046,2
Cthulhu Wars,1370632490,Cthulhu Wars (2015),1403981.04,14,4.787491742782046,3.1111
The 7th Continent,1443553207,The 7th Continent (2017),1370334.1383899066,12,6.907755278982137,3.1667
Deadzone,1366979310,Deadzone (2013),1216482.9,12,4.0943445622221,2.8214
The World of SMOG: Rise of Moloch,1484683209,The World of SMOG: Rise of Moloch (2017),1174130.1,14,4.499809670330265,1.5
Super Dungeon Explore: Forgotten King,1395111631,Super Dungeon Explore: Forgotten King (2015),1151889.53,10,4.787491742782046,3.1026
Masmorra: Dungeons of Arcadia,1456171201,Masmorra: Dungeons of Arcadia (2017),1010958.81,13,3.8066624897703196,2.0714
Sedition Wars: Battle for Alabaster,1337946345,Sedition Wars: Battle for Alabaster (2013),951254.4,12,4.0943445622221,3
Myth,1364223587,Myth (2014),926112.11,12,4.787491742782046,3.8425
