term,nmodels,coef,freq
unlocked,100,0.8092409263061197,0.12188268352651914
processing__fee,100,-0.6038375721300279,0.004332045427935839
promo__card,100,0.4682119016278073,0.022128556375131718
kickstarter__page,100,-0.4409408472806693,0.021660227139679196
cooperative,100,0.4403171836393688,0.04507668891230535
chess,100,-0.3901149165873461,0.02575810794988877
tom,100,0.3779248152832675,0.040978808102095775
miniature__game,100,0.376058126032069,0.03032431799555087
backer,100,0.3591448123257006,0.522772509073879
randomly__select,100,-0.3418583096397796,0.0071420208406509774
love__game,100,0.33117514229714834,0.012761971666081255
table__top,100,-0.32196405719658355,0.05889240135815478
interview,100,0.31507232561119497,0.05854115443156539
play__continue,100,-0.3144812429052576,0.013932794754712563
rule__book,100,-0.31212655764812824,0.067439409905163325
gaming__table,100,0.3063961343517603,0.026460601803067557
game,100,-0.29886091670172843,0.8970846505093081
publisher,100,0.2983139148943066,0.09027046013347383
linen__finish,100,0.29789357010776313,0.0167427701674277
specifically__design,100,-0.29681400410942504,0.008547008547008548
rule__set,100,-0.2968092885927211,0.02985598876009835
professionally__print,100,0.279702974808179,0.008195761620419155
play,100,-0.27810717325027606,0.7769582016157358
role__play,100,-0.27793282135892305,0.040744643484369514
game__board,100,-0.2705387832993756,0.09214377707528393
add__5,100,0.269412063276273,0.03278304648167662
add__10,100,0.26304605468002684,0.03863716192483316
dungeon,100,0.25881144395675076,0.10853530031612224
card__2,100,-0.25492323148372176,0.017211099402880226
wooden,100,0.2543157208856949,0.07247394918627795
save__money,100,0.2542010148311191,0.008078679311556024
chris,100,0.25392949481185423,0.04812082894274675
previous,100,0.25175769064472125,0.12761971666081254
essen,100,0.24549651568363312,0.026460601803067557
stretch,100,0.24385847702948926,0.5382273738438123
meeple,100,0.24041782733734351,0.04343753658822152
kickstarter,100,0.23961256837815312,0.6573000819576162
pledge,100,0.23689477362640904,0.540686102329938
simply__add,100,0.23338922043777716,0.03582718651211802
science__fiction,100,0.23272682701320596,0.03758342114506498
click,100,0.23224098359674844,0.2085235920852359
roughly,100,-0.23211059734628192,0.03442219880576045
late,100,0.23143926989731703,0.12562931741013933
ultimate__goal,100,-0.23061039519388682,0.007376185458377239
prototype,100,-0.22777982716602577,0.18932209343168246
interior,100,0.22574878341353802,0.04917456972251493
custom__design,100,-0.21731468591005407,0.014284041681301955
fun,100,-0.21482532430440784,0.41927174803887135
boardgamegeek.com__boardgame,100,0.21156652716657812,0.010303243179955509
collection,100,0.21072404682112988,0.12949303360262265
playing__cards,100,-0.20570438176853553,0.015571947078796394
game__design,100,0.20181838802283758,0.10549116028568083
quick__start,100,-0.20155235688905473,0.012527807048354994
short,100,0.1972715498523747,0.17129141786676033
card__base,100,-0.19690706822817855,0.01838192249151153
kevin,100,0.19670413195133787,0.023650626390352418
budget,100,-0.19622096445557552,0.04823791125160988
interactive,100,-0.19438504854972596,0.03910549116028568
card__box,100,-0.19356574095768225,0.008664090855871678
aim,100,-0.19130910041292737,0.08172345158646528
trading__card,100,-0.19115227219612846,0.015454864769933263
classic,100,0.18916941409731597,0.12680014049877064
games,100,0.18811814394332643,0.333918744877649
geek,100,0.18765536288558313,0.091324200913242
award__win,100,0.18755987008389843,0.04437419505912656
2012,100,0.18633254282057055,0.04788666432502049
secret,100,0.18474384270026042,0.13078093900011709
free__shipping,100,-0.18419657054555078,0.05713616672520782
dice__1,100,-0.18418445767955818,0.009483667017913594
board__game,100,-0.18396792370734405,0.2914178667603325
german,100,0.18172234304721027,0.049877063575693714
extra,100,0.17995193099635068,0.32349841938883034
folk,100,0.17842389667329184,0.06825898606720525
survey,100,0.17808950668031914,0.1346446551926004
level__2,100,-0.17761231852176249,0.012293642430628733
series,100,0.177603851517929,0.14541622760800843
excellent,100,0.17625162867233682,0.07434726612808805
bgg,100,0.1759583757110556,0.04589626507434726
university,100,0.1736672098036245,0.03313429340826601
metal,100,0.1721131260566384,0.11766772040744644
review,100,0.17020663693135607,0.19529329118370214
5th,100,0.16960953397746517,0.03828591499824376
sculpt,100,0.16470341034086136,0.07739140615852945
kickstarter__project,100,0.16451729181155905,0.08792881395621122
22,100,0.1630110934933919,0.05830698981383913
2__player,100,0.16212833974695098,0.0273972602739726
rule,100,0.1618562943775116,0.505795574288725
matt,100,0.16117069762640834,0.0384029973071069
video__game,100,-0.1599931147950913,0.057487413651797215
equipment,100,-0.15941924371285346,0.08628966163212738
card__feature,100,0.15859644275676305,0.016040276314248918
amazing,100,0.15741188468074083,0.18311673106193654
basis,100,-0.15631714835226349,0.03149514108418218
bulk,100,-0.15527683834304054,0.04179838426413769
player__begin,100,-0.15507789780117703,0.012644889357218124
damage,100,-0.15450515728816974,0.08909963704484253
game__session,100,-0.15342664710002865,0.01627444093197518
market,100,-0.15304980634156412,0.11755063809858331
game__night,100,-0.15037918905497671,0.04191546657300082
fast,100,0.15033190917794753,0.21929516450064396
family,100,-0.14901999131560761,0.22034890528041212
ground,100,-0.14607563155828934,0.0749326776724037
game__card,100,-0.14575365768584775,0.027982671818288257
international,100,0.145641940791885,0.18229715489989462
pledge__manager,100,0.14350057174732614,0.04320337197049526
mobile,100,-0.14343173197032508,0.031143894157592788
idea,100,-0.14228454587426168,0.293642430628732
heavy,100,0.14138205364043124,0.08956796628029505
tabletop__rpg,100,-0.1410571622581636,0.034890528041212975
average,100,-0.1410235694582626,0.04367170120594778
final__game,100,-0.14049672595784826,0.0121765601217656
money,100,-0.13942062438369454,0.2635522772509074
pawn,100,-0.13775321286184972,0.03254888186395036
finalize,100,-0.13764466049782328,0.035475939585528624
game__box,100,-0.13728881911326846,0.050111228193419975
enjoy,100,-0.13716951755418536,0.2582835733520665
free,100,0.13553658340897817,0.42266713499590214
print__run,100,0.1348356410030897,0.059009483667017915
add,100,0.13430906410720408,0.6527338719119541
result,100,0.13064874871479779,0.15244116613979627
leader,100,-0.12950940570963265,0.06989813839128908
miss,100,0.12933483019582453,0.10303243179955508
deal,100,-0.1292402159842228,0.18077508488467392
publish,100,0.12783698273386948,0.15993443390703665
box__design,100,-0.12749945754730835,0.010303243179955509
add__ons,100,0.12690448437476748,0.10619365413885962
pledge__reward,100,-0.1259915660248694,0.02599227256761503
half,100,-0.1252670923079762,0.10092495024001873
reality,100,-0.12494959527979102,0.1361667252078211
manufacturing,100,-0.12437725134227999,0.0764547476876244
selection,100,0.12196288787093888,0.07727432384966632
move,100,-0.12190856639140465,0.26003980798501347
obtain,100,-0.12048428792434032,0.04203254888186395
army,100,-0.11943690567305305,0.09998829176911368
convention,100,0.11909140963741113,0.101159114857745
previously,100,0.11835519430855686,0.045545018147757875
measure,100,0.11808376824510101,0.05046247512000936
bundle,100,0.11724028193717928,0.04964289895796745
developer,100,-0.11700034990318643,0.059243648284744176
undead__viking,100,0.11651266119128043,0.03278304648167662
excited,100,0.11631658084769275,0.10174452640206065
tiny,100,0.11584690556240884,0.03301721109940288
eu,100,0.11584061046984247,0.10186160871092378
start,100,-0.11576059191696698,0.47933497248565743
happen,100,-0.11559859189469607,0.19599578503688092
pdf,100,0.11483720552103514,0.21543144830816063
quickly,100,0.11462555530155885,0.13862545369394685
deep,100,0.11409596448871173,0.1293759512937595
hard,100,0.11400749886882286,0.19412246809507083
28,100,0.11275113175809348,0.09905163329820864
sketch,100,0.11242587454989962,0.04765249970729423
perfect,100,0.11201843813397916,0.18393630722397847
dozen,100,0.11136278734645856,0.06252195293291184
adventure,100,0.11036307764559299,0.21484603676384498
board,100,-0.10935825178300014,0.42688209811497485
scale,100,0.10918611558656514,0.1400304414003044
stretch__goal,100,0.10910252467959107,0.4846036763844983
super,100,0.10883195413653395,0.1148577449947313
campaign,100,0.1075645985290191,0.4727783631893221
4__player,100,0.10750788800413588,0.0136986301369863
level,100,0.10710582609552648,0.5157475705420911
tabletop__gaming,100,0.10526055426062324,0.039690902704601336
john,100,0.10478815101767042,0.0547945205479452
earn,100,0.1046209501019015,0.09975412715138743
component,100,0.10432386687536334,0.1735159817351598
game__geek,100,0.10374258423034156,0.03301721109940288
challenge,100,0.10356103689450702,0.18885376419622996
funding,100,-0.10352813779932922,0.2675330757522538
bag,100,0.10247052290282763,0.0958904109589041
discuss,100,-0.10238427324352166,0.05116496897318815
11,100,0.10164794838991595,0.11918979042266714
game__include,100,-0.10149786644044738,0.061819459079733054
dungeon__crawl,100,0.10145901618693182,0.01779651094719588
designer,100,0.10114008997981216,0.2449361901416696
historical,100,0.10074821631940795,0.04133005502868516
race,100,-0.10054753846076397,0.1312492682355696
germany,100,0.10032644484664036,0.05093080435546189
gain,100,-0.09975234124520338,0.15384615384615385
17,100,0.09777308321543549,0.0654490106544901
boardgamegeek.com,100,0.09749603988516851,0.03371970495258166
play__video,100,0.0964858152166432,0.036998009600749324
expand,100,0.09598014906195465,0.17363306404402296
additional__cost,100,0.09501963057065008,0.0273972602739726
michael,100,0.09461230814964543,0.045779182765484136
battle,100,-0.0940770758842991,0.24072122702259688
beautiful,100,0.09363158840227606,0.13113218592670647
facebook__twitter,100,0.09345112288705441,0.02564102564102564
original__game,100,0.09175023458503608,0.023533544081489288
hundred,100,0.09103398879801831,0.08172345158646528
air,100,-0.0896464605356322,0.0532724505327245
add__15,100,0.08929797422025246,0.027748507200561996
friend,100,-0.08843616426378698,0.3864887015571947
kickstarter__fee,100,-0.08831154720832331,0.010888654724271163
minimum,100,-0.08761436403088543,0.08687507317644304
goal__4,100,0.08759262495798237,0.02119189790422667
play__testing,100,-0.08680430522256803,0.033836787261444796
company,100,-0.08650095114596469,0.23638918159466105
dice__roll,100,-0.08638838524849163,0.037700503453928114
complete__game,100,0.08622969441079506,0.01791359325605901
reward,100,0.08615782715466515,0.46083596768528273
unlock,100,0.08583982664729031,0.24575576630371151
facebook__page,100,-0.08548374541725426,0.05268703898840885
fee,100,-0.08420407021909629,0.12867345744058073
stage,100,-0.08331513205832687,0.068141903758342115
https__www.facebook.com,100,-0.08309040337306564,0.040744643484369514
desire,100,-0.0824879701350594,0.07821098232057136
shipping__charge,100,0.08237330093230708,0.04285212504390586
uk,100,0.08202456030940111,0.0821917808219178
involve,100,-0.08114561984431802,0.1251609881746868
reward__level,100,0.07885499703458959,0.08991921320688444
random,100,-0.07676761700094334,0.09987120946025056
product,100,-0.07670339832748832,0.3107364477227491
hear,100,0.07560985826189226,0.10432033719704953
